"Timestamp","OGS","KGS","DGS","IGS","Foxwq","Tygem","WBaduk","GoQuest","AGA","EGF","Korea","China","Japan"
"2018/03/25 10:04:02 AM GMT+3","1k","1k","","1k","","2d","","","","","","",""
"2018/03/25 10:15:30 AM GMT+3","5k","4k","","","","","","","","","","",""
"2018/03/25 10:18:14 AM GMT+3","4k","3k","","3k","","1d","","","","","","",""
"2018/03/25 10:18:50 AM GMT+3","14k","14k","","14k","","","","","","","","",""
"2018/03/25 10:31:37 AM GMT+3","","5k","","6k","3k","4k","","","","","","",""
"2018/03/25 10:59:23 AM GMT+3","","","","","","1k","","","","","","",""
"2018/03/25 11:04:55 AM GMT+3","6k","4k","","","","5k","","1650","","","","",""
"2018/03/25 11:09:17 AM GMT+3","","","","","","","","","","","","",""
"2018/03/25 11:16:40 AM GMT+3","","1k","","","3d","2d","","","","","","",""
"2018/03/25 11:19:41 AM GMT+3","","1d","","2d","","4d","","","","","","",""
"2018/03/25 11:22:46 AM GMT+3","5k","6k","","8k","","","","","","","","",""
"2018/03/25 11:32:12 AM GMT+3","2d","2d","","","","5d","6d","","","","","",""
"2018/03/25 11:36:25 AM GMT+3","","2k","","","","3d","","","","","","",""
"2018/03/25 11:37:11 AM GMT+3","3k","3k","","","2k","","","","","","","",""
"2018/03/25 11:40:48 AM GMT+3","1k","1k","","","2d","","","1778","","","","",""
"2018/03/25 11:46:13 AM GMT+3","","1k","","","","2d","","1839","","","","",""
"2018/03/25 11:46:52 AM GMT+3","7k","5k","","","6k","","","","","","","",""
"2018/03/25 11:57:35 AM GMT+3","6k","5k","5k","","4k","6k","14k","","","","","",""
"2018/03/25 12:01:07 PM GMT+3","14k","","","","","","","","","","","",""
"2018/03/25 12:25:01 PM GMT+3","","","","","","","","","","","","",""
"2018/03/25 12:32:36 PM GMT+3","2d","1k","","1d","","2d","","","","6k","","",""
"2018/03/25 12:36:39 PM GMT+3","","2k","","","","2d","","","","4k","","",""
"2018/03/25 12:41:34 PM GMT+3","","1k","","","","4d","","","","2k","","",""
"2018/03/25 12:42:22 PM GMT+3","","1d","","1k","","3d","","","","2k","","",""
"2018/03/25 12:54:49 PM GMT+3","","5k","","","","","7k","","","","","3k",""
"2018/03/25 12:57:36 PM GMT+3","","1d","","","","3d","3d","","","1d","","",""
"2018/03/25 1:05:00 PM GMT+3","","2d","6d","","","","5d","","","2d","","",""
"2018/03/25 1:06:44 PM GMT+3","1k","3k","","5k","","","","","","5k","","",""
"2018/03/25 1:10:29 PM GMT+3","4k","4k","","","","3k","","","","","","",""
"2018/03/25 1:20:28 PM GMT+3","","","","4d","","","","2068","","1d","","",""
"2018/03/25 1:23:15 PM GMT+3","4d","1d","","","4d","4d","5d","","","","","",""
"2018/03/25 1:24:41 PM GMT+3","","2k","","","3d","2d","","","","3k","","",""
"2018/03/25 1:29:19 PM GMT+3","","5d","6d","","","7d","7d","","","5d","","5d",""
"2018/03/25 1:29:29 PM GMT+3","1k","2k","","3k","","1d","1d","","","1k","","",""
"2018/03/25 1:35:33 PM GMT+3","4d","3d","","","","","","2164","","2d","","",""
"2018/03/25 1:40:41 PM GMT+3","","5k","","","","","","","","9k","","",""
"2018/03/25 1:41:12 PM GMT+3","2k","1k","","3k","","","2k","","","3k","","",""
"2018/03/25 1:53:48 PM GMT+3","","2d","","","","","","","","3d","","",""
"2018/03/25 1:55:26 PM GMT+3","1k","","","","","","","","","2d","","",""
"2018/03/25 1:57:25 PM GMT+3","","10k","","","","","","","","","","",""
"2018/03/25 1:57:36 PM GMT+3","","2k","","","","3d","","","","3k","","",""
"2018/03/25 2:02:48 PM GMT+3","","","","","","","","","","","","",""
"2018/03/25 2:16:30 PM GMT+3","","1d","1d","2k","1k","","","","","3k","","",""
"2018/03/25 2:28:17 PM GMT+3","2k","","2k","2k","1d","","","1760","","","","",""
"2018/03/25 2:32:58 PM GMT+3","3k","2d","1k","","","3d","","1823","","1k","","",""
"2018/03/25 2:40:48 PM GMT+3","12k","","","","","","","","","","","",""
"2018/03/25 2:41:26 PM GMT+3","3d","2d","","2d","","5d","","","","1d","","",""
"2018/03/25 2:43:15 PM GMT+3","6d","7d","","","","","8d","","","6d","","",""
"2018/03/25 3:11:39 PM GMT+3","7k","5k","","","","6k","","","","9k","","",""
"2018/03/25 3:13:12 PM GMT+3","1k","2k","","","","3d","","1800","","","","",""
"2018/03/25 3:19:09 PM GMT+3","2k","1k","","3k","","1d","","1800","4k","","","",""
"2018/03/25 3:21:15 PM GMT+3","","5k","","","","","","","","","","",""
"2018/03/25 3:22:04 PM GMT+3","11k","","","","","","","","","","","",""
"2018/03/25 3:27:13 PM GMT+3","12k","9k","","","12k","","","","","","","",""
"2018/03/25 3:31:09 PM GMT+3","","5k","3k","","","","","","7k","","","",""
"2018/03/25 3:38:52 PM GMT+3","1k","1d","","","4d","4d","","","","","","",""
"2018/03/25 3:39:43 PM GMT+3","","5k","","8k","","","","","5k","","","",""
"2018/03/25 3:39:45 PM GMT+3","8k","7k","","5k","6k","5k","","","","","","",""
"2018/03/25 3:40:46 PM GMT+3","","","","4d","","","6d","2156","","2d","","",""
"2018/03/25 3:42:18 PM GMT+3","","2k","","1k","3d","2d","","","","4k","","",""
"2018/03/25 3:44:25 PM GMT+3","","4d","","","","6d","","2040","","3d","","",""
"2018/03/25 3:52:20 PM GMT+3","","5d","","","7d","7d","","","","","","",""
"2018/03/25 3:54:27 PM GMT+3","20k","","","","","","","","","","","",""
"2018/03/25 3:57:39 PM GMT+3","4d","1d","","3d","5d","5d","5d","","","","","","6d"
"2018/03/25 4:00:10 PM GMT+3","5d","4d","","","7d","8d","8d","","","","","","7d"
"2018/03/25 4:01:33 PM GMT+3","1d","1d","","1d","4d","4d","","","2d","","","",""
"2018/03/25 4:14:12 PM GMT+3","4d","1d","","","","3d","3d","1850","3d","","","","6d"
"2018/03/25 4:16:54 PM GMT+3","12k","","","","","","","","","","","",""
"2018/03/25 4:20:34 PM GMT+3","9k","9k","8k","","","","","1521","9k","","","",""
"2018/03/25 4:29:36 PM GMT+3","3k","2k","","","","","","","","","","",""
"2018/03/25 4:34:58 PM GMT+3","3d","1d","","3d","","2d","","1950","","1d","","",""
"2018/03/25 4:35:33 PM GMT+3","","","","","3k","","","","","7k","","",""
"2018/03/25 4:35:49 PM GMT+3","2k","","","","","","","","3k","","","",""
"2018/03/25 4:40:22 PM GMT+3","","","","","","","","","","","","",""
"2018/03/25 4:41:40 PM GMT+3","","2k","","3k","","1d","","1800","","","","",""
"2018/03/25 4:42:11 PM GMT+3","9d","9d","","","6d","9d","","","","","","",""
"2018/03/25 4:53:03 PM GMT+3","","2k","","","3d","","","","","3k","","",""
"2018/03/25 4:56:21 PM GMT+3","4k","","","","","","","","","","","1d","3d"
"2018/03/25 4:58:54 PM GMT+3","","1k","","","","3d","","","","","","",""
"2018/03/25 4:59:20 PM GMT+3","","2k","","","2k","1d","1k","1880","","","","","3d"
"2018/03/25 5:15:33 PM GMT+3","11k","8k","","10k","","14k","","","","","","",""
"2018/03/25 5:17:27 PM GMT+3","1k","1k","","2k","3d","3d","","","","","","",""
"2018/03/25 5:38:12 PM GMT+3","","","3k","","","","","","","5k","","",""
"2018/03/25 5:54:18 PM GMT+3","5k","","","","3k","","","","","","","",""
"2018/03/25 6:02:51 PM GMT+3","1k","1d","","","","3d","2d","","","","","",""
"2018/03/25 6:05:08 PM GMT+3","8k","","","","","","","","","","","",""
"2018/03/25 6:16:37 PM GMT+3","","3k","","","1d","","","","","","","",""
"2018/03/25 6:17:44 PM GMT+3","6k","5k","","","","","","","","6k","","",""
"2018/03/25 6:22:46 PM GMT+3","11k","10k","","","","","","","","","","",""
"2018/03/25 6:29:39 PM GMT+3","14k","","","","","","","","","","","",""
"2018/03/25 6:43:51 PM GMT+3","3d","","","3d","","","","","","2d","","",""
"2018/03/25 6:49:56 PM GMT+3","","7k","","10k","","8k","","","","","","",""
"2018/03/25 6:54:20 PM GMT+3","4d","3d","","","","6d","","","","2d","","",""
"2018/03/25 7:10:07 PM GMT+3","5k","4k","","","5k","4k","","","","","","",""
"2018/03/25 7:11:04 PM GMT+3","","7k","","","","","","","","","","",""
"2018/03/25 7:24:19 PM GMT+3","13k","12k","25k","13k","14k","12k","12k","1800","21k","","","",""
"2018/03/25 7:24:25 PM GMT+3","10k","6k","","","","12k","","","","12k","","",""
"2018/03/25 7:28:16 PM GMT+3","","4d","","","7d","8d","","2235","","5d","5d","",""
"2018/03/25 7:43:00 PM GMT+3","14k","","","","","","","","","","","",""
"2018/03/25 7:51:15 PM GMT+3","7k","6k","","12k","","","","","","","","",""
"2018/03/25 8:06:55 PM GMT+3","","1d","","","","2d","","","3d","","","",""
"2018/03/25 8:10:22 PM GMT+3","","10k","","17k","","16k","","","15k","","","",""
"2018/03/25 8:32:17 PM GMT+3","6k","","","11k","","","","","9k","","","",""
"2018/03/25 8:35:11 PM GMT+3","1d","1k","","","","","","","","","","",""
"2018/03/25 8:55:30 PM GMT+3","","","","","","","","","","","","",""
"2018/03/25 8:56:32 PM GMT+3","2k","1k","","","","","","","","","","",""
"2018/03/25 9:30:58 PM GMT+3","","3k","","","1d","","","","","","","",""
"2018/03/25 10:01:11 PM GMT+3","24k","","","","","","","","","","","",""
"2018/03/25 10:14:31 PM GMT+3","15k","15k","","15k","","","","","","","","",""
"2018/03/25 10:16:23 PM GMT+3","8k","6k","7k","7k","","","","","","7k","","",""
"2018/03/25 10:35:22 PM GMT+3","7k","","","","","","","","","","","",""
"2018/03/25 11:35:38 PM GMT+3","","1k","","","","","1d","","","3k","","","1d"
"2018/03/25 11:39:59 PM GMT+3","5d","4d","","","","6d","","","","3d","","",""
"2018/03/25 11:50:16 PM GMT+3","6k","3k","","","2k","3k","","","","","","",""
"2018/03/25 11:55:11 PM GMT+3","8k","4k","","","","","","","","","","",""
"2018/03/25 11:59:36 PM GMT+3","","1k","","","","","","","","3k","","",""
"2018/03/26 12:16:46 AM GMT+3","","4k","","","","","","","","","","",""
"2018/03/26 12:25:04 AM GMT+3","9k","","","","","","","","","","","",""
"2018/03/26 12:32:03 AM GMT+3","12k","15k","","","","","","","","","","","3k"
"2018/03/26 12:50:55 AM GMT+3","2k","3k","","","","2k","","","","","","",""
"2018/03/26 1:27:32 AM GMT+3","5k","1k","","2k","","","","","","","","",""
"2018/03/26 1:45:15 AM GMT+3","7k","","","","","","","1593","","9k","","",""
"2018/03/26 1:53:38 AM GMT+3","8k","6k","","8k","","","","","","8k","","",""
"2018/03/26 2:00:13 AM GMT+3","2d","","","","","","","","","1d","","",""
"2018/03/26 2:49:18 AM GMT+3","5k","","","6k","","","","","","","","",""
"2018/03/26 2:53:07 AM GMT+3","","2k","","","","","","","","5k","","",""
"2018/03/26 3:08:21 AM GMT+3","","","","4d","","5d","","","4d","","","",""
"2018/03/26 3:51:01 AM GMT+3","9k","7k","","","","","","","","","","",""
"2018/03/26 3:58:54 AM GMT+3","","9d","","","","9d","","","","","","",""
"2018/03/26 4:16:54 AM GMT+3","1k","","","","","","","","","2k","","",""
"2018/03/26 4:20:10 AM GMT+3","","1d","","2d","","4d","","","","3k","","",""
"2018/03/26 4:27:02 AM GMT+3","13k","9k","","14k","","","","","","","","",""
"2018/03/26 5:29:23 AM GMT+3","","","","1d","","","","","1d","","","",""
"2018/03/26 7:03:22 AM GMT+3","13k","","","","","","","1286","","","","",""
"2018/03/26 7:05:27 AM GMT+3","12k","","","","","","","","","","","",""
"2018/03/26 8:08:32 AM GMT+3","1k","1d","","","","3d","","","","","","",""
"2018/03/26 8:20:11 AM GMT+3","8k","5k","","9k","","","","","","8k","","",""
"2018/03/26 8:35:14 AM GMT+3","1d","1d","","4d","","5k","","","","","","",""
"2018/03/26 8:47:49 AM GMT+3","","","","8k","","","","","","6k","","",""
"2018/03/26 9:15:14 AM GMT+3","15k","14k","","15k","","14k","","","","","","",""
"2018/03/26 9:23:21 AM GMT+3","8k","","","","","","","","","","","2d",""
"2018/03/26 9:41:41 AM GMT+3","13k","","","","","","","","","18k","","",""
"2018/03/26 10:38:04 AM GMT+3","","3k","","","","","","","","3k","","","2d"
"2018/03/26 11:26:32 AM GMT+3","","3d","","","","","","","7d","3d","","5d","7d"
"2018/03/26 11:37:13 AM GMT+3","","2d","4d","","","5d","","","","2d","","",""
"2018/03/26 11:50:40 AM GMT+3","9k","","","","","","","","","7k","","",""
"2018/03/26 11:56:20 AM GMT+3","","11k","","13k","","","","","10k","","","",""
"2018/03/26 12:25:41 PM GMT+3","","2d","","","","","","","","2d","","",""
"2018/03/26 12:33:31 PM GMT+3","","6k","","15k","","","","","","","","",""
"2018/03/26 12:40:54 PM GMT+3","1k","","","","","","","1700","","6k","","","2d"
"2018/03/26 12:57:06 PM GMT+3","9k","","10k","","","","","","","","","",""
"2018/03/26 12:58:41 PM GMT+3","1d","","","1d","","3d","","","","3k","","",""
"2018/03/26 1:42:59 PM GMT+3","","5k","","","","4k","","","","8k","","",""
"2018/03/26 2:29:55 PM GMT+3","","4d","","","","7d","7d","","","3d","","",""
"2018/03/26 3:02:06 PM GMT+3","6k","","","","","","","","","6k","","",""
"2018/03/26 3:06:39 PM GMT+3","9k","7k","","","","","","","","","","",""
"2018/03/26 3:27:32 PM GMT+3","7k","4k","","5k","","5k","","1650","","6k","","",""
"2018/03/26 3:48:02 PM GMT+3","","5k","","","","","","","","8k","","",""
"2018/03/26 3:54:45 PM GMT+3","","3d","","5d","","6d","","","","","","",""
"2018/03/26 3:55:57 PM GMT+3","4k","2k","1k","","","4k","","","","3k","","",""
"2018/03/26 3:59:10 PM GMT+3","5k","4k","","","","","","","","6k","","",""
"2018/03/26 5:00:56 PM GMT+3","","3d","","","6d","6d","7d","","","","","","6d"
"2018/03/26 5:05:11 PM GMT+3","14k","14k","","14k","","","","","","15k","","",""
"2018/03/26 5:28:11 PM GMT+3","","4k","","","","","","","","4k","","",""
"2018/03/26 6:23:29 PM GMT+3","11k","3k","","","","","","","","2k","","",""
"2018/03/26 6:25:44 PM GMT+3","","","","","","","","","","","","",""
"2018/03/26 6:50:06 PM GMT+3","","1k","","","","","","","","3k","","",""
"2018/03/26 6:56:58 PM GMT+3","6k","2k","","","4k","5k","","","","","","",""
"2018/03/26 8:43:26 PM GMT+3","18k","","","","","","","","","","","",""
"2018/03/26 11:06:10 PM GMT+3","15k","","","","","","","","","","","",""
"2018/03/27 1:13:44 AM GMT+3","","","","13k","","","","1420","","","","",""
"2018/03/27 2:02:35 AM GMT+3","6k","","","","4k","5k","","","","","","",""
"2018/03/27 2:11:42 AM GMT+3","7k","5k","","10k","","","","","","","","",""
"2018/03/27 3:21:16 AM GMT+3","6k","6k","","","","6k","","","9k","","","",""
"2018/03/27 4:59:56 AM GMT+3","","2k","","","1d","2d","","","2d","","","1d",""
"2018/03/27 1:14:00 PM GMT+3","","7k","","","","","","","","","","",""
"2018/03/27 2:40:30 PM GMT+3","8k","4k","","","","","","","","","","",""
"2018/03/27 3:47:56 PM GMT+3","","1d","","","1d","1k","","","","1d","","",""
"2018/03/27 6:53:36 PM GMT+3","25k","","","","","","","955","","","","",""
"2018/03/27 8:11:28 PM GMT+3","","1k","","","","3d","","1830","1d","","","",""
"2018/03/27 8:50:50 PM GMT+3","6k","5k","3k","6k","","","","1788","8k","","","",""
"2018/03/27 9:13:51 PM GMT+3","2d","2d","","","","","","","","","","",""
"2018/03/27 9:44:09 PM GMT+3","","2d","","","","5d","3d","","3d","","","",""
"2018/03/27 9:53:55 PM GMT+3","4k","3k","","","","","","","","5k","","",""
"2018/03/27 11:04:24 PM GMT+3","","","","","","","","","","","","",""
"2018/03/27 11:04:53 PM GMT+3","","","","","","","","","","","","",""
"2018/03/28 2:17:00 AM GMT+3","","","","","","","","","","","","",""
"2018/03/28 3:48:49 AM GMT+3","12k","","","","","","","","","","","",""
"2018/03/28 3:50:30 AM GMT+3","1d","4k","1k","","","","","","3k","","","",""
"2018/03/28 3:56:28 AM GMT+3","","5k","","7k","","","","","4k","","","",""
"2018/03/28 4:19:10 AM GMT+3","6d","","3d","","","","","","","2d","","",""
"2018/03/28 4:25:55 AM GMT+3","","","","","","","","","","","","",""
"2018/03/28 5:36:16 AM GMT+3","8k","","","","","","","1630","","","","",""
"2018/03/28 6:32:26 AM GMT+3","13k","12k","","11k","","12k","","","","","","",""
"2018/03/28 8:53:55 AM GMT+3","","3d","","","","5d","6d","2100","","3d","","",""
"2018/03/28 8:55:18 AM GMT+3","","1k","","2d","","","","","1d","","","",""
"2018/03/28 10:31:31 AM GMT+3","1d","1k","","","","2d","","","","3k","","",""
"2018/03/28 10:57:53 AM GMT+3","15k","11k","","","","","","1330","","","","",""
"2018/03/28 11:30:36 AM GMT+3","7k","","","","","","","","","8k","","",""
"2018/03/28 12:49:36 PM GMT+3","","7k","","","","","","","","8k","","",""
"2018/03/28 1:00:01 PM GMT+3","15k","12k","","","","","","","","16k","","",""
"2018/03/28 1:05:24 PM GMT+3","8k","4k","","","","","","","","4k","","",""
"2018/03/28 2:39:16 PM GMT+3","3k","4k","","6k","","","7k","1750","","4k","","",""
"2018/03/28 3:29:17 PM GMT+3","5d","1k","","","","","5d","","","2d","","",""
"2018/03/28 5:10:36 PM GMT+3","5k","","","2k","","2k","3k","","","","","2d",""
"2018/03/28 6:30:22 PM GMT+3","25k","","","","","","","939","","","","",""
"2018/03/28 10:08:16 PM GMT+3","5d","4d","","5d","","6d","6d","","6d","4d","","","7d"
"2018/03/29 1:27:49 AM GMT+3","6k","","","6k","2k","","","1550","","8k","","",""
"2018/03/29 1:48:48 AM GMT+3","3d","3d","","5d","","6d","6d","","5d","","","4d",""
"2018/03/29 10:54:18 AM GMT+3","6k","","","","","","","","","10k","","",""
"2018/03/29 1:21:11 PM GMT+3","3k","","","","1d","2d","1d","","","","","",""
"2018/03/29 1:41:03 PM GMT+3","7k","","","","","","","","","10k","","",""
"2018/03/29 2:59:37 PM GMT+3","","","","","","","","","","","","",""
"2018/03/29 3:30:40 PM GMT+3","4k","5k","","","","","","","","","","",""
"2018/03/29 3:48:14 PM GMT+3","1k","","","2k","","3d","","","","2k","","",""
"2018/03/29 5:13:51 PM GMT+3","","3d","","5d","6d","6d","","","","","","",""
"2018/03/30 2:35:25 AM GMT+3","13k","","","","","","","","","","","",""
"2018/03/30 3:50:00 AM GMT+3","","","","","","","","","","","","",""
"2018/03/30 5:24:34 AM GMT+3","","","","","","3d","","","","","1k","","3d"
"2018/03/30 7:50:59 AM GMT+3","","3k","","","","","","","","","","","2d"
"2018/03/30 4:20:26 PM GMT+3","3k","3k","","","","","","","","","","",""
"2018/03/30 7:30:01 PM GMT+3","","6k","6k","10k","","8k","","","","8k","","",""
"2018/03/30 10:19:59 PM GMT+3","","5k","","","","","","","","12k","","",""
"2018/03/31 3:37:58 AM GMT+3","1d","2d","","","4d","","","1960","","","","",""
"2018/03/31 4:13:33 AM GMT+3","8k","","","8k","","","","","","","","",""
"2018/03/31 12:15:17 PM GMT+3","12k","","","","","","","1495","","","","",""
"2018/03/31 4:19:55 PM GMT+3","11k","","","","","","","","","","","",""
"2018/03/31 6:08:15 PM GMT+3","3k","1d","3k","2d","","3d","","1920","","2k","","",""
"2018/03/31 6:55:31 PM GMT+3","3k","2d","","3d","","4d","4d","","","1d","","",""
"2018/03/31 9:00:55 PM GMT+3","9d","7d","","","","8d","8d","","","5d","","",""
"2018/04/01 1:47:52 AM GMT+3","3d","","","","","","","","6d","2d","","",""
"2018/04/01 12:29:35 PM GMT+3","","","","","","","","","","","","",""
"2018/04/01 1:44:05 PM GMT+3","5k","4k","","","","","","","","","","","1d"
"2018/04/02 5:36:32 PM GMT+3","13k","4k","8k","9k","","17k","17k","","","7k","","",""
"2018/04/02 7:51:13 PM GMT+3","10k","","","14k","","","","","","14k","","",""
"2018/04/03 12:56:08 AM GMT+3","1k","1k","","","","","","","3k","","","",""
"2018/04/03 8:21:17 AM GMT+3","7d","5d","","","9d","8d","8d","","6d","","","",""
"2018/04/03 11:39:08 AM GMT+3","4k","2k","","2k","","","","","","3k","","",""
"2018/04/03 6:10:08 PM GMT+3","5k","","","","","","","","","","","",""
"2018/04/03 7:42:02 PM GMT+3","9k","6k","","","","","","","","","","",""
"2018/04/04 3:44:46 AM GMT+3","","","","","","","","","","","","",""
"2018/04/04 4:32:28 AM GMT+3","","1k","","","","","","","","","","",""
"2018/04/04 5:42:19 AM GMT+3","","5k","","7k","","1k","","","","","","",""
"2018/04/05 4:22:12 AM GMT+3","12k","","","","","","","","","","","",""
"2018/04/05 4:40:32 AM GMT+3","18k","","13k","","","","","","13k","","","",""
"2018/04/05 3:07:15 PM GMT+3","1k","1k","","","","","","","","3k","","",""
"2018/04/06 12:35:05 AM GMT+3","9k","","","","","","","","","9k","","",""
"2018/04/06 8:26:05 AM GMT+3","","9k","","13k","","","","","","","","",""
"2018/04/06 10:59:10 AM GMT+3","5k","4k","","","","3k","4k","","","","","",""
"2018/04/06 4:12:02 PM GMT+3","9k","6k","","","","","","","","","","",""
"2018/04/07 5:13:36 AM GMT+3","3k","","","","2d","","","","","","","",""
"2018/04/07 2:48:32 PM GMT+3","7k","","","","","","","1694","","","","",""
"2018/04/07 10:23:43 PM GMT+3","12k","","","","","","","","","","","",""